,file,bbox,class,size (cm)
110,26_05_21-B15,"[691.4304931207433, 174.46110433486888, 883.9474703363786, 844.1361251856741]",Serranus scriba,13.414958120775
111,26_05_21-B15,"[1167.8519154465284, 281.3182334257861, 1192.0724272151178, 739.2927381732611]",Serranus scriba,16.3080662464897
112,26_05_21-B15,"[1653.8501356107452, 333.2464914103622, 968.8899748457732, 687.1068864496052]",Serranus scriba,14.2093874802108
113,26_05_21-B15,"[1542.3361917696975, 958.5324862479648, 734.8579389796496, 1673.1193004367537]",Serranus scriba,20.5059504885684
114,26_05_21-B15,"[2086.373728539277, 1931.0126835718563, 884.7762793923675, 672.8351780536875]",Scorpaena porcus,13.3805722617896
115,26_05_21-B15,"[2949.513655337168, 751.9315106570422, 469.224106640896, 1535.4584454767605]",Serranus scriba,16.3126648733758
116,26_05_21-B15,"[2500, 209.85322576994892, 895, 636.7554279005402]",Serranus scriba,13.7155240532339
117,26_05_21-B15,"[2232.383208760067, 710.4865964338023, 474.77727342097614, 1375.303094062409]",Serranus scriba,17.619822118076
118,26_05_21-B16,"[1145.6840299244068, 184.772871596779, 1074.509876271266, 1262.2883012507107]",Serranus scriba,18.7388804824514
119,26_05_21-B16,"[1707.7301046709226, 372.37340695345193, 1031.0, 327.99999999999994]",Serranus scriba,13.8278222859038
120,26_05_21-B16,"[2568.404040372224, 893.9829819652296, 660.0, 480.0]",Scorpaena porcus,10.3105279873928
121,26_05_21-B16,"[2308.9727949058342, 949.384477049667, 812.8198657658536, 523.5309510048079]",Serranus scriba,11.8902268092165
122,26_05_21-B16,"[1977.8801854054568, 951.5582301117843, 1186.3917206242213, 656.5714864138317]",Serranus scriba,16.9279951394402
123,26_05_21-B16,"[2905.58354780347, 1193.549007403385, 354.876684909299, 727.3215225368806]",Scorpaena porcus,10.6324647964561
124,26_05_21-B16,"[2883.6979654504985, 1554.5187341623418, 690.3034603425076, 942.6724673494459]",Serranus scriba,15.0322454461507
125,26_05_21-B16,"[2382.158032128384, 360.34762799998924, 713.2670003622543, 359.5615256341741]",Scorpaena porcus,11.0229271493724
126,26_05_21-B16,"[1397.215649588471, 1286.132816650442, 547.7891975621183, 857.6820106809139]",Serranus scriba,12.7296494627536
127,26_05_21-B16,"[1046.6599984950878, 1063.5786190370343, 825.5856516534136, 1047.841597154695]",Serranus scriba,15.1518418728153
128,26_05_21-B16,"[962.3409837654016, 891.7569491871898, 608.6009414245926, 796.2150439276206]",Scorpaena porcus,11.2270836290936
129,26_05_21-B16,"[822.6477387550224, 694.168075796041, 417.1511233467611, 1413.0692489980622]",Serranus scriba,17.4287324092529
130,26_05_21-B16,"[771, 2068.136333219303, 1441.14573347666, 552.4738267992475]",Serranus scriba,17.5147033929062
131,26_05_21-B29,"[572, 1343.9113299055957, 381, 1331.861446623147]",Serranus scriba,14.5472435691731
132,26_05_21-B29,"[860.4663294107986, 974.7162508071223, 635.2403795070779, 524.2440766362175]",Scorpaena porcus,8.83199456426166
133,26_05_21-B29,"[1345.6649205456233, 216.11632738071992, 594.9747720591474, 789.3956621414671]",Scorpaena porcus,10.9102235129232
134,26_05_21-B29,"[2221.2341840900967, 1192.9539265201802, 951.0629487384699, 410.33063236248427]",Scorpaena porcus,11.1876586742206
135,26_05_21-B29,"[3226.331671561543, 1897.4988761625857, 362.2481318893974, 701.5011238374143]",Scorpaena porcus,8.97064112042111
136,26_05_21-B29,"[2620.102298544353, 1882.703727840851, 950.7520312026959, 805.7174779805725]",Serranus scriba,13.8641522885246
137,26_05_21-B29,"[2043.7898360922193, 1963.7318132891949, 885.9912529020605, 275.05021728146926]",Scorpaena porcus,10.4269765828279
138,26_05_21-B29,"[2050.6871284682447, 2144.511927230838, 893.6333682699496, 555.1536258977148]",Scorpaena porcus,11.4579825375333
139,26_05_21-B29,"[1386.9942537193847, 2222.700820226524, 1113.4628387935477, 468.1141904746469]",Serranus scriba,13.227984677665
140,26_05_21-B29,"[1843.0577299831705, 1038.0840586428467, 456.78718510066824, 1283.9423581207975]",Serranus scriba,14.6168102863307
141,26_05_21-B29,"[1331.5894803452709, 872.0723996766461, 745.4568289905249, 1447.5357821561697]",Scorpaena porcus,16.9277804105167
142,26_05_21-B10,"[1443, 287.17487998653297, 1648, 587.8251200134671]",Symphodus tinca H,19.8960517037811
143,26_05_21-B10,"[550.7428681180297, 854, 518.2571318819703, 1638]",Symphodus tinca M,18.0763087265345
144,26_05_21-B10,"[775.244824606249, 2165.503307793133, 1326.8964140336302, 580.2861754966016]",Symphodus tinca H,15.0696239189779
145,26_05_21-B10,"[3089.154630597049, 1059, 560.1522570052462, 1698.3199921668966]",Symphodus tinca H,19.3924303370473
146,26_05_21-B8,"[484.8921179191469, 838, 608.0485956145891, 1930.4127751739306]",Symphodus tinca M,21.3444977867437
147,26_05_21-B8,"[1015.782638363336, 359.161833104977, 554.217361636664, 1706.838166895023]",Symphodus tinca M,19.3939296328992
148,26_05_21-B8,"[1381.9281654755325, 594.3945628411385, 634.9567453022685, 1883.8652669457315]",Symphodus tinca M,21.7411844535016
149,26_05_21-B8,"[1956, 794.8740446594312, 541.9362534563602, 1938.5928403293092]",Symphodus tinca H,21.9355446833624
150,26_05_21-B8,"[2545.5779515596973, 1279.4081117521823, 914.3303093886184, 1445.1249164420892]",Symphodus tinca H,19.641797240309
151,26_05_21-B8,"[2962.1517843209826, 818.6552929405883, 597.2325728051151, 1713.8439645583899]",Symphodus tinca M,20.4379821825191
152,26_05_21-B8,"[1647, 349.64549127349574, 1589.1511414679176, 588.5110454639504]",Symphodus tinca H,19.830773256593
153,26_05_21-B26,"[483.50068789332494, 1023, 413.2090821832175, 1565]",Pagellus erythrinus,16.8915531210382
154,26_05_21-B26,"[788.5313139595777, 747, 354.4686860404223, 1818]",Pagellus erythrinus,20.0707568584914
155,26_05_21-B26,"[1034, 868, 477.54812457994626, 1635]",Pagellus erythrinus,17.9655791659497
156,26_05_21-B26,"[1457, 624.5516235576415, 501.584417093349, 2046.4363473769154]",Pagellus erythrinus,23.1072211014656
157,26_05_21-B26,"[1784, 757, 591, 1813.8744066845584]",Pagellus erythrinus,20.3643604975827
158,26_05_21-B18,"[549.2916286596986, 1176.4496629199073, 362.52262115795565, 1359.2579396479362]",Serranus scriba,14.7588977864743
159,26_05_21-B18,"[681.5246190914762, 1327.4532715573196, 498.614236090849, 1277.9608572076386]",Serranus scriba,14.5784083452449
160,26_05_21-B18,"[1587.44354373264, 1612.6709226112555, 356.7780268086851, 1130.9190283747005]",Serranus scriba,13.0496699442648
161,26_05_21-B18,"[1874.6559261325492, 1400.122898635762, 339.3867756899872, 1316.776613472515]",Serranus scriba,14.8007713462019
162,26_05_21-B18,"[2261.1725544359847, 1686.3356901928657, 1002.053410174607, 988.692698038946]",Serranus scriba,16.081014454356
163,26_05_21-B18,"[2407.251738556342, 1410.5640026972512, 604.3444535089052, 778.8547705105077]",Scorpaena porcus,11.0831335789517
164,26_05_21-B18,"[2012.4252726714237, 991.930969777762, 993.1349009395915, 912.2026369127462]",Serranus scriba,15.1988085779513
165,26_05_21-B18,"[2946.5700130866976, 925.9418039361825, 804.1141904746464, 557.6365276881994]",Scorpaena porcus,11.7684453847865
166,26_05_21-B18,"[2298, 414.23738942668814, 1258, 484.7863096624573]",Serranus scriba,15.724303072923
167,26_05_21-B28,"[579.7000097747393, 48.43670681786029, 2101.4802108001722, 2470.457751295621]",Sphyraena sphyraena,45.4950249973664
168,26_05_21-B28,"[2277, 944, 475, 1583.0019072480559]",Pagellus erythrinus,19.5849259469057
169,26_05_21-B28,"[1616, 1048, 655.0242052238318, 906]",Scorpaena porcus,13.1576446125565
170,20_05_21-B20,"[670.6495017237237, 561.9976397798875, 596.6565270620633, 1908.079064358885]",Pagellus erythrinus,22.7592543735396
171,20_05_21-B20,"[955.7920273480914, 222.21246064575303, 716.2079726519086, 1901.6746939757948]",Pagellus erythrinus,23.7757528707305
172,20_05_21-B20,"[1681.4258858723824, 383, 586.5741141276176, 1720]",Pagellus erythrinus,20.8612474756607
173,20_05_21-B20,"[1825.3645310298627, 626.8916472448151, 570.019240974035, 2060.655331387307]",Pagellus erythrinus,24.6646842488048
174,20_05_21-B20,"[2136.568586358278, 729.6421079139204, 520.5223358340454, 1846.0462764791887]",Pagellus erythrinus,22.4234874773571
175,20_05_21-B20,"[2418.498380787777, 804.9908836319141, 509.0801635349876, 1877.25986017811]",Pagellus erythrinus,22.5326728239787
176,20_05_21-B20,"[2358.0339334090872, 420.11687812089264, 879.534929857211, 1731.9990125157447]",Pagellus erythrinus,23.2922096185849
177,20_05_21-B20,"[3016.0911410131735, 140.7592066510568, 562.7755597832761, 1792.2627061566498]",Pagellus erythrinus,22.8601957211555
178,20_05_21-B30,"[648, 379.32311673325887, 693.2370617833715, 972.5712024379808]",Diplodus anularis,13.6903367152462
179,20_05_21-B30,"[842.6202677236842, 666.8430544158804, 492.5061642725499, 1057.7553697572685]",Diplodus anularis,13.4099124522138
180,20_05_21-B30,"[1031, 1491.8001238277106, 490.57695994194387, 1185.9675864402343]",Diplodus anularis,14.8959674683048
181,20_05_21-B30,"[1427.1659140685474, 1399.9311894549737, 457.8340859314526, 1275.171590660958]",Diplodus anularis,15.1533945483049
182,20_05_21-B30,"[1943, 1763.8052637732678, 699.0565209047131, 913.1947362267322]",Diplodus anularis,13.5802315857952
183,20_05_21-B30,"[2495, 1482.5509673339764, 517, 1165.4269498180881]",Diplodus anularis,14.9518534962157
184,20_05_21-B30,"[2782.1483565397016, 1442.6186513696396, 470.5939718894074, 1173.515882582262]",Diplodus anularis,15.2282415643508
185,20_05_21-B30,"[1330.2197385009176, 494.41622705797596, 798.2724091523919, 662.5006674318006]",Diplodus anularis,13.060912864201
186,20_05_21-B30,"[1391.1689423478729, 402.2105968888444, 752.6819752248234, 809.4496569401132]",Diplodus anularis,13.017366970189
187,20_05_21-B30,"[2030.2296657271704, 439.62947662393873, 511.8070531007738, 1118.019253524608]",Diplodus anularis,14.0860101175747
188,20_05_21-B30,"[2558.9299129608594, 399.31747444714296, 683.20700759893, 799.5940420792788]",Diplodus anularis,12.6086896527454
189,20_05_21-B30,"[2677.5046116509907, 131.6963988395243, 843.1037727377511, 747.703062951301]",Diplodus anularis,13.690360539594
190,20_05_21-B9,"[623.4425817474795, 356.8231016436428, 1556.0719600774223, 467.94722699461755]",Pagellus acarne,18.7775048253829
191,20_05_21-B9,"[1590.6377329161508, 265.6093271209964, 1814.4060259805522, 533.5290446766608]",Pagellus erythrinus,23.118314162687
192,20_05_21-B9,"[1441.7924704106858, 1122.4619637082526, 1794.2502416503066, 493.14766981206367]",Pagellus erythrinus,22.1425895595564
193,20_05_21-B9,"[1246.558793258715, 1203.8679532155159, 1534.441206741285, 712.1320467844841]",Pagellus erythrinus,20.1435087769436
194,20_05_21-B9,"[1619, 1829.0184590448066, 1464.786514190962, 376.9815409551934]",Pagellus acarne,18.8822980940419
195,20_05_21-B9,"[1101.6446797559854, 2183, 1488.9186264271318, 408]",Pagellus erythrinus,18.6141879983687
196,20_05_21-B9,"[3029.736869531363, 983.7146840652957, 427.8224510428763, 1532.953447689269]",Pagellus erythrinus,18.6894032455137
197,20_05_21-B9,"[728.6062454352258, 744.1043130836606, 586.7143651866658, 1772.0681842833037]",Pagrus pagrus,20.9468542749692
198,20_05_21-B14,"[999.1277130070001, 142.01279259974808, 1782.912808325449, 1202.8769481228512]",Pagellus erythrinus,25.0136723316931
199,20_05_21-B14,"[765.6869453864182, 669.9911272745671, 612.3130546135818, 2104.008872725433]",Pagellus erythrinus,26.614040254481
200,20_05_21-B14,"[1366, 1908.5705281833154, 1666.409605478117, 862.1599547674052]",Pagellus erythrinus,22.3852510861359
201,20_05_21-B14,"[2950, 1080.909595852101, 593.6328684865384, 1745.3486453459539]",Pagellus erythrinus,21.9801915700972
202,20_05_21-B14,"[2699, 382.7147970679471, 986, 1636.4297824413989]",Pagellus erythrinus,23.7801565657303
203,20_05_21-B27,"[1904.7180879317048, 955, 468.04739210852176, 1472.4938283948868]",Pagrus pagrus,17.3460671497599
204,20_05_21-B27,"[588.465458149278, 799.6410622218417, 1111.9081544011553, 1104.4855365480103]",Pagrus pagrus,16.8777569333073
205,20_05_21-B19,"[718, 533, 561.6876375780955, 1986.6833866125776]",Pagellus erythrinus,23.616068435552
206,20_05_21-B19,"[1022.7579463490234, 294, 683.3908973705189, 1898.8951377555895]",Pagellus erythrinus,22.7587359557794
207,20_05_21-B19,"[1668.6771643357108, 822.695656406262, 1316.187663976287, 1344.0066898991677]",Pagellus erythrinus,21.7832857381603
208,20_05_21-B19,"[1849.0407832379815, 366.1264293995889, 1699.1376886817256, 1190.057525146734]",Pagellus erythrinus,24.267516206919
209,20_05_21-B19,"[2219.405084429348, 968.8755082864047, 1278.2099344168614, 1313.4708981249125]",Pagellus erythrinus,21.793322161034
210,20_05_21-B1,"[1290.3402857548572, 2024, 1243.6597142451428, 268]",Pagellus acarne,15.8677519596415
211,20_05_21-B1,"[1298.1860044539533, 2433, 1204.8310900288632, 273]",Pagellus acarne,15.2971397994978
212,20_05_21-B1,"[3054.739050544337, 1020.2766879773721, 434.2609494556632, 1515.5459744971076]",Pagellus erythrinus,19.4975141982125
213,20_05_21-B2,"[1572.7835437995113, 671.9335013105683, 499.37997241156654, 1804.597606541999]",Serranus scriba,19.8332300698105
214,20_05_21-B2,"[1989.604354322964, 937.1428658288902, 388.7942944304041, 925.3946842641027]",Scorpaena porcus,10.6870886793877
215,20_05_21-B2,"[2797.4508557682016, 1060.3685152167238, 442.96585658239746, 1348.7318618329712]",Scorpaena porcus,15.4989713026372
216,20_05_21-B2,"[3251.1384683081956, 1227.386781966244, 368.03630870278766, 1258.3756423310886]",Scorpaena porcus,14.3423804949482
217,20_05_21-B2,"[2867.513343611617, 347.36169533773744, 761.2644080437917, 889.8219484817794]",Serranus scriba,12.4066085475685
